idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
47999,14691,Flotante Kronotex Roble Harbour D-3570 Exquisit An,5.0000,13.50000000,40470.5825
47999,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,10.0000,10.00000000,2600.6380
48000,200158,SPC Oferta CDW653EXL-15 4 mm -,8.0000,27.76000000,77717.3320
48000,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7242.9632
48001,20116,SPC Oferta Roble Vienna 4022 4 mm (0.3 wl) -,9.0000,24.30000000,81331.6383
48001,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10864.4448
48002,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,19440.8022
48002,20233,SPC Kempas 8887 (Max Core 2da Gen) 4 mm (0.3 wl) -,24.0000,63.36000000,225559.9536
48003,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,8.0000,21.12000000,59128.4000
48003,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7242.9600
48004,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,19.0000,50.16000000,140429.9500
48004,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,18107.4000
48006,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,19.0000,50.16000000,140429.9500
48006,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,18107.4000
48007,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,8.0000,21.12000000,59128.4000
48007,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7242.9600
48008,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,8.0000,21.12000000,59128.4000
48008,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7242.9600
48010,20227,SPC Roble Polonia 1106 (Max Core 2da Gen) 4.5 mm (,34.0000,62.22000000,227640.3462
48010,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,17376.5853
48012,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,35.0000,92.40000000,253513.0150
48013,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,35.0000,92.40000000,253513.0150
48014,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,35.0000,92.40000000,253513.0150
48015,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,35.0000,92.40000000,253513.0150
48016,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,35.0000,92.40000000,253513.0150
48017,200145,SPC Oferta JMW70604 - -,8.0000,19.76000000,47694.7433
48019,19815,SPC Estrasburgo 4 mm (0.3 wl) / Bisel -,15.0000,53.10000000,198549.5964
48019,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,17016.7551
48020,21656,SPC Oferta 6172-1 4.2 mm (0.4 wl) -,20.0000,44.00000000,122879.9528
48020,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,18062.1092
48023,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,8.0000,21.12000000,59128.4000
48023,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7242.9600
48024,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,52.0000,52.00000000,19236.1520
