idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
48194,20226,SPC Roble Bangkok 1105 (Max Core 2da Gen) 4.5 mm (,37.0000,67.71000000,311330.5800
48194,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,21838.0800
48201,200176,SPC Oferta CDA190L-13X 4.7 mm -,8.0000,17.68000000,44905.5200
48205,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,2.0000,5.28000000,12497.1868
48214,14690,Flotante Kronotex Roble Rift (Astilla) D-3044 Exqu,7.0000,18.90000000,55658.9838
48214,17774,Mantos Ladix 3mmx0.80mmx1.25 mm - -,17.0000,17.00000000,4343.2688
48215,21656,SPC Oferta 6172-1 4.2 mm (0.4 wl) -,3.0000,6.60000000,16037.9847
48220,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.2000,1.20000000,7206.5565
48220,20228,SPC Roble Hacienda 1 Lama 8007 (Max Core 2da Gen),9.0000,23.76000000,78387.5070
48221,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,24.0000,24.00000000,7608.4800
48223,20900,SPC Oferta FH785701 4mm + 1.0mm IXPE + Bisel Recti,14.0000,33.46000000,106457.2532
48234,19815,SPC Estrasburgo 4 mm (0.3 wl) / Bisel -,15.0000,53.10000000,175007.9085
48234,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,17998.9209
48236,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,4.0000,4.00000000,28826.2800
48236,19814,SPC Roble Niza 4 mm (0.3 wl) / Bisel -,41.0000,77.49000000,306765.2800
48239,18874,Porcelanato Taupe Atelier Atelier -,21.0000,35.28000000,119271.4614
48249,21255,SPC Sacramento BLANCO 2333 AQUAblue (4mm + 0.3 wl),33.0000,89.10000000,289931.0865
48249,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,4.0000,4.00000000,29044.6064
48250,21255,SPC Sacramento BLANCO 2333 AQUAblue (4mm + 0.3 wl),33.0000,89.10000000,289931.0865
48250,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,4.0000,4.00000000,29044.6064
48252,20236,SPC Olivo 8890 (Max Core 2da Gen) 4 mm -,2.0000,5.28000000,17451.1343
48259,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,0.5000,0.50000000,3639.6800
48259,19957,SPC Atelier Blanco 8891 (Max Core) 4 mm (0.3 wl) -,4.0000,10.56000000,42229.0000
48262,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,11975.9866
48262,20883,SPC Oferta Barrique Oak 4 mm (0.3 wl) -,17.0000,44.88000000,103877.2947
48265,200115,Porcelanato Reserva Marfil - Rectificado - -,6.0000,10.14000000,39613.8582
48278,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,13.0000,34.32000000,79667.3377
48278,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,9008.1956
48282,20119,SPC Oferta Roble Frankfurt 5014 4 mm (0.3 wl) -,5.0000,13.50000000,38999.2245
48282,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,0.6000,0.60000000,3750.9086
48284,21099,SPC Roble Greenland 4 mm (0.3 wl) -,8.0000,16.40000000,53442.7720
48284,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,11863.9010
48288,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,11770.7252
48288,20236,SPC Olivo 8890 (Max Core 2da Gen) 4 mm -,15.0000,39.60000000,128033.0490
48289,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,30.0000,30.00000000,8673.0000
48289,200168,SPC Oferta JMW0994 5 mm (0.3 wl) -,11.0000,33.55000000,64842.9661
48290,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,8953.6005
48290,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,13.0000,34.32000000,79184.5054
48290,200140,SPC Oferta ORGW491-4 - -,8.0000,31.76000000,61509.0528
48295,200169,SPC Oferta JMW7432 5mm (0.25 wl) -,14.0000,42.70000000,99912.1200
48295,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14558.7200
48302,14482,Flotante Kronotex Mountain Spruce Sepia D-3576 Mam,13.0000,18.07000000,76086.0100
48302,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7279.3600
48307,200176,SPC Oferta CDA190L-13X 4.7 mm -,2.0000,4.42000000,11226.3800
48314,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,13.0000,34.32000000,96566.4700
48314,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10919.0400
48316,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,13.0000,34.32000000,95929.1307
48316,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10846.9743
48321,200146,SPC Oferta JMW089 5 mm (0.55 wl) -,18.0000,33.48000000,85652.1738
48321,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,30.0000,30.00000000,10798.9200
48331,19812,SPC Roble Lyon 4 mm (0.3 wl) / Bisel -,15.0000,28.35000000,85529.4705
48331,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,5491.9978
48335,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10838.2242
48335,21098,SPC Roble Roma 4 mm (0.3 wl) -,18.0000,36.90000000,146467.5588
